source	target
AHNAK	RUVBL1
AHNAK	RUVBL2
AHNAK	PIH1D1
AHNAK	CCT5
HSD17B10	RUVBL1
HSD17B10	RUVBL2
HSD17B10	POLR2E
HSD17B10	CCT2
HSD17B10	CCT7
HSD17B10	CCT8
HSD17B10	PIH1D1
HSPA8	RUVBL1
HSPA8	RUVBL2
HSPA8	POLR2E
HSPA8	TCP1
HSPA8	CCT3
HSPA8	PIH1D1
WDR5	RUVBL1
WDR5	RUVBL2
WDR5	TCP1
WDR5	CCT2
WDR5	CCT3
WDR5	CCT4
WDR5	CCT5
WDR5	CCT6A
WDR5	CCT7
WDR5	CCT8
HUWE1	RUVBL1
HUWE1	RUVBL2
HUWE1	TCP1
HUWE1	CCT2
HUWE1	CCT3
HUWE1	CCT4
HUWE1	CCT5
HUWE1	CCT6A
HUWE1	CCT7
HUWE1	CCT8
HUWE1	PIH1D1
CUL3	RUVBL1
CUL3	RUVBL2
CUL3	TCP1
CUL3	CCT2
CUL3	CCT3
CUL3	CCT4
CUL3	CCT5
CUL3	CCT6A
CUL3	CCT7
CUL3	CCT8
CUL3	POLR2E
CUL3	RPAP3
TMPO	RUVBL1
TMPO	TCP1
TMPO	CCT2
TMPO	CCT3
TMPO	CCT8
RBM39	RUVBL1
RBM39	TCP1
RBM39	CCT3
RBM39	CCT7
RBM39	CCT8
NME2	RUVBL2
ZNRD2	RUVBL2
RPS4X	RUVBL2
COPE	RUVBL2
NDRG1	RUVBL2
ASS1	RUVBL2
SNX2	RUVBL2
PLOD2	RUVBL2
IWS1	RUVBL2
CCAR2	RUVBL2
IPO4	RUVBL2
CHD4	RUVBL2
CUL1	RUVBL2
CUL1	CCT2
CUL1	CCT4
CUL1	CCT8
PDCD5	TCP1
COPG1	TCP1
RPS3	TCP1
RPS3	CCT2
ERLIN2	TCP1
ERLIN2	CCT2
ACTR2	TCP1
ACTR2	CCT2
ACTR2	CCT3
ACTR2	CCT4
ACTR2	CCT5
ACTR2	CCT6A
ACTR2	CCT6A
ACTR2	CCT7
ACTR2	CCT8
ACTR2	PFDN2
ACTR2	PIH1D1
ACTR2	RUVBL1
TXNDC9	TCP1
TXNDC9	CCT2
TXNDC9	CCT3
TXNDC9	CCT4
TXNDC9	CCT5
TXNDC9	CCT6A
TXNDC9	CCT6B
TXNDC9	CCT7
DCAF11	TCP1
DCAF11	CCT2
DCAF11	CCT3
DCAF11	CCT4
DCAF11	CCT5
DCAF11	CCT6A
DCAF11	CCT6B
DCAF11	CCT7
BUB3	TCP1
BUB3	CCT2
BUB3	CCT3
BUB3	CCT4
BUB3	CCT5
BUB3	CCT6A
BUB3	CCT6B
BUB3	CCT7
BUB3	CCT8
BUB3	PIH1D1
MCM2	TCP1
MCM2	CCT2
MCM2	CCT3
MCM2	CCT4
MCM2	CCT5
MCM2	CCT6A
MCM2	CCT6B
MCM2	CCT7
MCM2	CCT8
MCM2	RUVBL1
MCM2	PFDN2
WDR77	TCP1
WDR77	CCT2
WDR77	CCT3
WDR77	CCT4
WDR77	CCT5
WDR77	CCT6A
WDR77	CCT6B
WDR77	CCT7
WDR77	URI1
GANAB	TCP1
GANAB	CCT2
GANAB	CCT3
GANAB	CCT4
GANAB	CCT5
GANAB	CCT6A
GANAB	CCT7
PTPA	TCP1
PTPA	CCT2
PTPA	CCT3
PTPA	CCT4
PTPA	CCT5
PTPA	CCT6A
PTPA	CCT7
PTPA	CCT8
LGALS3BP	TCP1
LGALS3BP	CCT2
LGALS3BP	CCT3
LGALS3BP	CCT4
LGALS3BP	CCT5
LGALS3BP	CCT6A
LGALS3BP	CCT7
LGALS3BP	CCT8
TUBG1	TCP1
TUBG1	CCT2
TUBG1	CCT3
TUBG1	CCT4
TUBG1	CCT5
TUBG1	CCT6A
TUBG1	CCT7
TUBG1	CCT8
TUBG1	PFDN1
TUBG1	PFDN2
TUBG1	PFDN5
TUBG1	PFDN6
FUS	TCP1
FUS	CCT2
FUS	CCT3
FUS	CCT4
FUS	CCT5
FUS	CCT6A
FUS	CCT7
FUS	CCT8
FUS	PIH1D1
TUBA1C	TCP1
TUBA1C	CCT2
TUBA1C	CCT3
TUBA1C	CCT4
TUBA1C	CCT5
TUBA1C	CCT6A
TUBA1C	CCT7
TUBA1C	CCT8
TUBA1C	PIH1D1
PPP2CA	TCP1
PPP2CA	CCT2
PPP2CA	CCT3
PPP2CA	CCT4
PPP2CA	CCT5
PPP2CA	CCT6A
PPP2CA	CCT7
PPP2CA	CCT8
PPP2CA	PIH1D1
PPP2CA	URI1
PPP2CA	PFDN1
CCT6B	TCP1
CCT6B	CCT2
CCT6B	CCT3
CCT6B	CCT4
CCT6B	CCT5
CCT6B	CCT6A
CCT6B	CCT7
CCT6B	CCT8
CCT6B	WDR92
DCAF8	TCP1
DCAF8	CCT2
DCAF8	CCT3
DCAF8	CCT4
DCAF8	CCT5
DCAF8	CCT6B
DCAF8	CCT7
PDCL3	TCP1
PDCL3	CCT2
PDCL3	CCT3
PDCL3	CCT4
PDCL3	CCT6A
PDCL3	CCT7
PDCL3	CCT8
TUBA1B	TCP1
TUBA1B	CCT2
TUBA1B	CCT3
TUBA1B	CCT4
TUBA1B	CCT6A
TUBA1B	CCT7
TUBA1B	PIH1D1
PDCL	TCP1
PDCL	CCT2
PDCL	CCT3
PDCL	CCT5
PDCL	CCT7
GTF2I	TCP1
GTF2I	CCT2
GTF2I	CCT3
GTF2I	PIH1D1
SSR1	TCP1
SSR1	CCT2
SSR1	CCT4
SSR1	CCT5
PSMD14	TCP1
PSMD14	CCT2
PSMD14	CCT7
PSMD14	CCT8
HDAC2	TCP1
HDAC2	CCT3
HDAC2	CCT5
HDAC2	CCT6A
HDAC2	PFDN2
HDAC2	VBP1
HDAC2	PFDN5
HDAC2	RUVBL2
HDAC6	TCP1
HDAC6	CCT3
HDAC6	CCT5
HDAC6	CCT7
HDAC6	RUVBL1
HDAC6	RUVBL2
HDAC6	PIH1D1
UQCRC2	TCP1
UQCRC2	CCT3
UQCRC2	CCT6A
UQCRC2	CCT6B
UQCRC2	CCT7
UQCRC2	CCT8
RPN1	TCP1
RPN1	CCT3
RPN1	CCT6A
RPN1	CCT7
RPN1	CCT8
G3BP1	TCP1
G3BP1	CCT3
G3BP1	CCT6A
G3BP1	PFDN4
G3BP1	PIH1D1
GBA	TCP1
GBA	CCT3
GBA	CCT8
COPA	TCP1
COPA	CCT3
COPA	PIH1D1
RPSA	TCP1
RPSA	CCT4
RELA	TCP1
RELA	CCT4
RELA	CCT8
RELA	RUVBL1
RELA	RUVBL2
RELA	UXT
USP9X	TCP1
USP9X	CCT4
USP9X	RUVBL1
DNAJA2	TCP1
DNAJA2	CCT4
DNAJA2	URI1
EPRS	TCP1
EPRS	VBP1
EPRS	PIH1D1
ABI1	TUBB4B
ABI1	TUBB
ABI1	TUBA1B
NUDCD3	URI1
CTR9	URI1
PSMD2	URI1
PSMD2	CCT2
PSMD2	PIH1D1
POLR1D	URI1
POLR1D	PDRG1
POLR1D	PFDN2
POLR1D	WDR92
POLR1D	UXT
POLR1D	RPAP3
POLR1D	PIH1D1
POLR1D	PFDN6
MYH9	URI1
MYH9	PIH1D1
DPF2	URI1
DPF2	POLR2E
CACYBP	URI1
CACYBP	RPAP3
CACYBP	PIH1D1
PAF1	URI1
PAF1	RUVBL1
CDK1	URI1
CDK1	TCP1
CDK1	CCT4
CDK1	CCT5
CDK1	CCT7
SARM1	UXT
LARP1	UXT
LARP1	PIH1D1
LRPPRC	UXT
LRPPRC	PIH1D1
LRPPRC	POLR2E
LRPPRC	URI1
PPP1CC	UXT
PPP1CC	RPAP3
PPP1CC	PIH1D1
PPP1CC	URI1
PPP1CC	PDRG1
PPP1CC	WDR92
PPP1CC	PFDN2
PPP1CC	PFDN6
PPP1CC	CCT2
PPP1CC	RUVBL1
PPP1CC	RUVBL2
SSB	VBP1
FH	VBP1
ALDH1B1	VBP1
XPNPEP1	VBP1
TRMT1	VBP1
TTLL12	VBP1
TNPO1	VBP1
PSMC2	VBP1
PSMC2	CCT2
PSMC2	CCT3
PSMC2	CCT4
PSMC2	CCT6A
PSMC2	CCT6B
PSMC2	CCT8
ACTR3	VBP1
ACTR3	PFDN2
ACTR3	PFDN4
ACTR3	TCP1
ACTR3	CCT2
ACTR3	CCT4
ACTR3	CCT3
ACTR3	CCT6A
ACTR3	CCT7
ALDH2	VBP1
ALDH2	PFDN4
IARS2	VBP1
IARS2	PFDN4
UBA1	VBP1
UBA1	PFDN4
UBA1	PIH1D1
DARS	VBP1
DARS	PFDN5
IARS	VBP1
IARS	PFDN5
IARS	PIH1D1
IARS	CCT5
QARS	VBP1
QARS	PIH1D1
PEX7	VBP1
PEX7	TCP1
PEX7	CCT2
PEX7	CCT3
PEX7	CCT4
PEX7	CCT5
PEX7	CCT6A
PEX7	CCT6B
PEX7	CCT7
PEX7	CCT8
HNRNPH1	WDR92
HNRNPH1	PFDN6
HNRNPH1	CCT4
HNRNPH1	CCT5
