source	target
CCT2	WDR92
CCT2	PIH1D1
PFDN1	VBP1
PFDN1	PFDN2
PFDN1	PFDN4
PFDN1	PFDN5
PFDN1	PFDN6
TTC37	PFDN1
TTC37	PFDN2
TTC37	VBP1
TTC37	PFDN5
TTC37	PFDN6
HSP90AA1	RPAP3
HSP90AA1	PIH1D1
HSP90AA1	URI1
HSP90AA1	PDRG1
HSP90AA1	POLR2E
HSP90AA1	TCP1
HSP90AA1	CCT2
SRCAP	RUVBL1
SRCAP	RUVBL2
RPAP3	PIH1D1
RPAP3	URI1
RPAP3	PDRG1
RPAP3	RPAP3
RPAP3	RUVBL1
RPAP3	RUVBL2
RPAP3	WDR92
RPAP3	PFDN6
RPAP3	PFDN5
RPAP3	UXT
RPAP3	PFDN2
RPAP3	CCT5
DCTN1	PFDN1
NCKAP1	PIH1D1
CYFIP1	PIH1D1
RAD50	PIH1D1
MRE11	PIH1D1
MRE11	URI1
HSPB1	RUVBL1
HSPB1	RUVBL2
HSPB1	RPAP3
HSPB1	PFDN2
HSPB1	PIH1D1
CDC5L	RUVBL1
CDC5L	RUVBL2
CDC5L	TCP1
CDC5L	CCT2
CDC5L	CCT3
CDC5L	CCT4
CDC5L	CCT5
CDC5L	CCT6A
CDC5L	CCT7
CDC5L	CCT8
MAP1B	RUVBL2
HSPH1	CCT2
HSPH1	PIH1D1
HSPA4L	PIH1D1
POLR2C	PIH1D1
POLR2C	RPAP3
POLR2C	WDR92
POLR2C	PDRG1
POLR2C	PFDN2
POLR2C	TCP1
POLR2C	CCT2
POLR2C	CCT3
POLR2C	CCT7
POLR2C	CCT8
HSPA4	RUVBL1
HSPA4	TCP1
HSPA4	CCT2
HSPA4	RPAP3
HSPA4	PIH1D1
CDC37	URI1
CDC37	RPAP3
EFTUD2	RPAP3
EFTUD2	PIH1D1
EFTUD2	RUVBL1
EFTUD2	RUVBL2
EFTUD2	WDR92
EFTUD2	PDRG1
EFTUD2	PFDN2
EFTUD2	TCP1
EFTUD2	CCT2
EFTUD2	CCT3
EFTUD2	CCT7
EFTUD2	CCT8
AAR2	CCT2
AAR2	CCT3
AAR2	CCT7
AAR2	CCT8
AAR2	RUVBL1
AAR2	RUVBL2
TANGO6	RPAP3
TANGO6	URI1
TANGO6	RUVBL1
TANGO6	RUVBL2
TANGO6	WDR92
EEA1	RUVBL1
EEA1	TCP1
RUVBL2	PIH1D1
RUVBL2	URI1
RUVBL2	PDRG1
RUVBL2	RUVBL1
RUVBL2	PFDN6
RUVBL2	RPAP3
RUVBL2	UXT
RUVBL2	WDR92
RUVBL2	PFDN2
ACTL6A	TCP1
ACTL6A	RUVBL1
ACTL6A	RUVBL2
ACTL6A	CCT2
ACTL6A	CCT3
ACTL6A	CCT4
ACTL6A	CCT6A
ACTL6A	CCT6B
ACTL6A	CCT7
DPCD	RPAP3
DPCD	RUVBL1
DPCD	RUVBL2
DPCD	WDR92
RUVBL1	PIH1D1
RUVBL1	URI1
RUVBL1	PDRG1
RUVBL1	RPAP3
RUVBL1	UXT
RUVBL1	WDR92
RUVBL1	RUVBL2
RUVBL1	PFDN2
RUVBL1	PFDN6
UBR5	PIH1D1
PELP1	RUVBL1
PPP2R2A	TCP1
PPP2R2A	CCT2
PPP2R2A	CCT3
PPP2R2A	CCT4
PPP2R2A	CCT5
PPP2R2A	CCT6A
PPP2R2A	CCT7
PPP2R2A	CCT8
PPP2R2A	PIH1D1
RPAP2	PIH1D1
RPAP2	URI1
RPAP2	PDRG1
RPAP2	WDR92
RPAP2	RPAP3
RPAP2	UXT
RPAP2	RUVBL2
RPAP2	TCP1
RPAP2	CCT5
GPN1	PIH1D1
GPN1	URI1
GPN1	RUVBL1
GPN1	POLR2E
GPN1	RPAP3
GPN1	TCP1
GPN1	CCT4
GPN1	CCT5
GPN1	CCT6A
GPN1	CCT8
SNRNP200	RUVBL1
SNRNP200	RUVBL2
SNRNP200	WDR92
SNRNP200	PDRG1
SNRNP200	PIH1D1
GPN3	UXT
GPN3	PIH1D1
GPN3	POLR2E
GPN3	URI1
