,0,1,2
127,TCP1,BUB3,0.6297570466995239
128,TCP1,MCM2,0.8650235533714294
129,TCP1,PDCL,0.8982300758361816
130,TCP1,SSR1,0.7495689392089844
131,TCP1,HDAC2,0.5437796711921692
132,TCP1,RPN1,0.6018545627593994
133,TCP1,COPA,0.7867807149887085
134,TCP1,DNAJA2,0.674500048160553
135,CCT3,HDAC1,0.910913586616516
136,CCT3,CCT8,0.9996718168258668
137,CCT3,CCT6A,0.999842643737793
138,CCT3,CCT5,0.9997936487197876
139,CCT3,CCT4,0.9998606443405152
140,CCT3,CCT6B,0.9995927810668944
141,CCT3,WDR92,0.9643468260765076
142,CCT3,CDC5L,0.9895304441452026
143,CCT3,EFTUD2,0.979787826538086
144,CCT3,POLR1C,0.9852936863899232
145,CCT3,PRPF8,0.8771032691001892
146,CCT3,DNAJA1,0.9800740480422974
147,CCT3,DTL,0.9748197793960572
148,CCT3,TRIM28,0.8429313898086548
149,CCT3,DYNC1I2,0.8977831602096558
150,CCT3,CAD,0.965872883796692
151,CCT3,TXNDC9,0.9687592387199402
152,CCT3,DCAF11,0.5875093340873718
153,CCT3,MCM2,0.9325532913208008
154,CCT3,PDCL,0.8866361379623413
155,CCT3,HDAC2,0.6090855598449707
156,CCT4,GNB2,0.7118659615516663
157,CCT4,HDAC1,0.7711559534072876
158,CCT4,CCT8,0.9997899532318116
159,CCT4,CCT6A,0.999836802482605
160,CCT4,CCT5,0.9998127818107604
161,CCT4,CCT6B,0.9996569156646729
162,CCT4,WDR92,0.9320245981216432
163,CCT4,CDC5L,0.8499178290367126
164,CCT4,GPN1,0.9911453723907472
165,CCT4,DTL,0.9815475940704346
166,CCT4,XPO1,0.8670867681503296
167,CCT4,CAD,0.9470959305763244
168,CCT4,TXNDC9,0.9496309757232666
169,CCT4,DCAF11,0.5999950170516968
170,CCT4,MCM2,0.922153115272522
171,CCT4,SSR1,0.8123730421066284
172,CCT4,DNAJA2,0.6831656098365784
173,CCT5,GNB2,0.8687468767166138
174,CCT5,HDAC1,0.8517524600028992
175,CCT5,CCT8,0.999975323677063
176,CCT5,CCT6A,0.9997985363006592
177,CCT5,CCT6B,0.9999090433120728
178,CCT5,RPAP3,0.8723381757736206
179,CCT5,WDR92,0.8421250581741333
180,CCT5,CDC5L,0.8808575868606567
181,CCT5,RPAP2,0.9868150949478148
182,CCT5,GPN1,0.9292492866516112
183,CCT5,DTL,0.9684923887252808
184,CCT5,TRIM28,0.5083857774734497
185,CCT5,XPO1,0.9104113578796388
186,CCT5,AHNAK,0.7507020235061646
187,CCT5,TXNDC9,0.9050173163414
188,CCT5,DCAF11,0.6805458664894104
189,CCT5,MCM2,0.93859601020813
190,CCT5,PDCL,0.9901809692382812
191,CCT5,SSR1,0.7945265173912048
192,CCT6A,GNB2,0.7105836272239685
193,CCT6A,HDAC1,0.7330343723297119
194,CCT6A,CCT8,0.9997901916503906
195,CCT6A,CCT6B,0.9998539090156556
196,CCT6A,WDR92,0.9616569876670836
197,CCT6A,CDC5L,0.9698947668075562
198,CCT6A,GPN1,0.982114553451538
199,CCT6A,DNAJA1,0.9701793789863586
200,CCT6A,EEF1D,0.9987967014312744
201,CCT6A,TECR,0.8760604858398438
202,CCT6A,SF3B1,0.9809314012527466
203,CCT6A,CAD,0.846581220626831
204,CCT6A,TXNDC9,0.9396124482154846
205,CCT6A,DCAF11,0.5177523493766785
206,CCT6A,MCM2,0.9101679921150208
207,CCT6B,GNB2,0.537116289138794
208,CCT6B,HDAC1,0.9470105171203612
209,CCT6B,CCT8,0.9994446039199828
210,CCT6B,WDR92,0.8753708600997925
211,CCT6B,DNAJA1,0.9795106649398804
212,CCT6B,DTL,0.9920480251312256
213,CCT6B,TXNDC9,0.8893206715583801
214,CCT6B,DCAF11,0.6006424427032471
215,CCT6B,MCM2,0.9657955169677734
216,GNB2,PFDN1,0.6157538890838623
217,GNB2,VBP1,0.7093240022659302
218,GNB2,PFDN5,0.6691551208496094
219,GNB2,PDRG1,0.5986597537994385
220,GNB2,CCT8,0.7731777429580688
221,PFDN1,VBP1,0.9979592561721802
