id		0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
A2ML1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23522.1884765625	14331.259765625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABI1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11259.169921875	4719.568359375	11154.8076171875	30850.84375	38021.296875	16533.705078125	7486.96484375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11833.689453125	5268.1533203125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABI1	1	0.0012714638551128731	0.0	0.01803122293370494	0.0	0.2511656572167564	0.0	3.4982879781008847	0.0	48.72486603619568	0.0	1001.3031149624753	3048.7660636675378	822.5487020487881	1916.5422682342398	4561.364185010335	6602.558800711236	7406.629752267296	4877.2382799529705	6158.682375191813	2191.7730677036097	2608.9703010425587	7755.272963610076	6915.607131383855	5969.841162534195	7011.949524593509	9407.404280865609	16981.540346129535	21924.946830291075	17838.69389171884	32102.265622609717	19859.01518575368	33969.03007703512	47558.525189373424	21844.15681181121	14407.532725747109	6425.526851679223	797.0885135398751	594.9672438860853	711.8640329001119	0.0	42.206517131936735	0.0	3.4273975336500597	0.0	0.40447890419228877	0.0	0.02638995278456468	0.0	0.006304934636167487	0.0	0.06187913212178017	0.0	0.8600029150687549	0.0	16.88044586080092	14.826681219596166	0.0	0.8108001558779826	0.0	0.05821283208415273	0.0	0.004179493300156053	0.0	0.0003000741180320104	0.0	2.1544352292093107e-05	0.0	1.5468140572930724e-06	0.0	1.1104451000991597e-07	0.0	7.809082845751314e-09	0.0	2.52730431361654e-24	2.52730431361654e-24
ABI1	2	0.011035661151359679	0.0	0.15402196015836078	0.0	2.145271781065692	0.0	29.879782974761323	0.0	472.1410186110766	1733.8532606744795	2407.8971825227973	1359.8413155897956	1483.902922705305	5978.845342428343	2219.1691615637533	0.0	82.22837240245802	0.0	52.77892991685931	0.0	758.1109170698008	3543.5115145862155	5083.597139469598	4661.259090228994	1249.6159087685198	0.0	0.0	545.6367503311126	7437.128499330086	19267.53627476264	18814.138797504416	23443.16038128297	33439.37679512387	13395.290634230449	6833.359622803106	2480.5799449038764	0.0	91.09430341493207	0.0	6.540276725494775	0.0	0.4695707419947953	0.0	0.03371366243235859	0.0	0.002420532058225268	0.0	0.0001737863827951474	0.0	1.2477300906795408e-05	0.0	8.958298999883701e-07	0.0	6.431769304177866e-08	0.0	4.617802596531068e-09	0.0	3.3154330965629693e-10	0.0	2.3803738657088617e-11	0.0	1.7090315429438385e-12	0.0	1.2270294412511485e-13	0.0	8.80967480776932e-15	0.0	6.325031836556866e-16	0.0	4.5369763410290546e-17	0.0	2.67350408838124e-18	0.0	0.0	0.0
ACLY	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7615.25390625	17051.783691406203	34427.1044921875	12494.23046875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACLY	1	0.0	0.025317530946916952	0.0	0.3535077469254701	0.0	4.923790926009664	0.0	68.57956521720985	0.0	1027.1380286090691	4907.2976636589665	2843.3053270700084	2367.2420868683744	2460.024676744347	0.0	0.0	812.6646061454948	3229.6056244249676	460.74498557876973	0.0	13.118173524666874	0.0	160.34145727822442	1712.6626890462	2572.5875118024896	1451.9027281451026	2592.103087381621	3631.4664488939748	3755.9880605544645	7988.468527363516	11292.312779637477	20741.341778342055	38829.16409350574	17835.721205125592	2988.9226865244436	0.0	52.572586745188524	0.0	3.986066932548615	0.0	3.2323503104920985	0.0	41.266837414340785	0.0	637.6639569863729	5349.368099902736	5349.344188446635	0.0	183.1372862469757	0.0	13.148665568642276	0.0	0.9440317140161505	0.0	0.0677784275838339	0.0	0.004866272157524598	0.0	0.00034938262151049484	0.0	2.5084543622327874e-05	0.0	1.8009892020952533e-06	0.0	1.2930520700569393e-07	0.0	9.283695984461514e-09	0.0	6.665367767672884e-10	0.0	4.7818890280522894e-11	0.0	2.927687160032013e-12	0.0	0.0
ACLY	2	1.1488453367885824e-14	0.0	1.6113212994177353e-13	0.0	2.2443613658169445e-12	0.0	3.1259926991495466e-11	0.0	4.3539461651512115e-10	0.0	6.064264704220197e-09	0.0	8.446431124256766e-08	0.0	1.1764360926917281e-06	0.0	1.638564098644151e-05	0.0	0.00022822253771748917	0.0	0.0031787298870584093	0.0	0.04427399588110023	0.0	0.6166572124483447	0.0	8.588926978395733	0.0	119.62832048509193	0.0	7350.299339360392	13084.17318184987	49397.642582891116	3994.438466249816	0.0	283.7650516970461	0.0	20.37341407255102	0.0	1.4627453186686477	0.0	0.10502038881002976	0.0	0.0075401246717702024	0.0	0.0005413565947530377	0.0	3.886765477231828e-05	0.0	2.790572059419145e-06	0.0	2.0035405954971435e-07	0.0	1.4384774276857775e-08	0.0	1.0327803262943347e-09	0.0	7.415029126293885e-11	0.0	5.323751386809146e-12	0.0	3.822281523891013e-13	0.0	2.744274663827553e-14	0.0	1.970300546756005e-15	0.0	1.4146101630852667e-16	0.0	1.0153681563371046e-17	0.0	6.905255786679967e-19	0.0	8.291887842861405e-34	8.291887842861405e-34
ACTL6A	0	5633.85205078125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5044.87890625	9370.369140625	0.0	19251.2746582031	17578.5283203125	36236.646484375	8483.173828125	10511.669921875	8526.3984375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTL6A	1	0.0	0.006259693580265874	0.0	0.08780489103129696	0.0	1.2230087808578896	0.0	17.034318040979166	0.0	3730.1057465272274	16834.77377515031	20187.359417031537	42369.93042049304	41962.36139464873	47050.38661516988	31623.78015834363	28632.188515127455	16222.894661029399	9353.812839778484	6034.389283567654	10757.404599193093	6028.152165851374	7587.165945897534	792.1080051483575	0.0	12359.348257299669	15870.787932897652	1057.3405306410198	0.0	74.84197245558138	0.0	5.373411862120059	0.0	0.3857936140994812	0.0	0.027698735272679534	0.0	0.001988679718032205	0.0	0.00014278077977132337	0.0	1.0251198766324953e-05	0.0	7.360029572258166e-07	0.0	5.2842634836486263e-08	0.0	3.793930484990561e-09	0.0	2.723919533815929e-10	0.0	1.9556862351742454e-11	0.0	1.4041195428016177e-12	0.0	1.0081124748018505e-13	0.0	7.237921920973509e-15	0.0	5.196594134439786e-16	0.0	3.73098672422008e-17	0.0	2.6787279468325542e-18	0.0	1.9232401345494342e-19	0.0	1.3808241536867454e-20	0.0	9.913680612009364e-22	0.0	7.091131994564904e-23	0.0	1.3904180381499332e-24	0.0
ACTL6A	2	0.0	0.0015745166645943361	0.0	0.11421301651634623	0.0	1.5974077145642411	0.0	22.249494987383013	0.0	311.8846958854112	7579.331308217256	8389.956171349935	9392.363672795484	18944.926801239	21518.485073654174	10530.464008608484	45747.376424746115	49080.64913290669	225.56631817421993	38189.91988595422	1894.27396518263	329.8929639113768	0.0	23.685249163674875	0.0	1.7005243800715528	0.0	0.12209215732687992	0.0	0.008765822504764303	0.0	0.000629357739820322	0.0	4.518585272020347e-05	0.0	3.2441982625572054e-06	0.0	2.32922955597413e-07	0.0	1.672311580657523e-08	0.0	1.2006656946406743e-09	0.0	8.620391839421246e-11	0.0	6.189162878298073e-12	0.0	4.443619019605333e-13	0.0	3.1903749149397175e-14	0.0	2.290586131027189e-15	0.0	1.6445668498347146e-16	0.0	1.1807458741411438e-17	0.0	8.477373962885416e-19	0.0	6.086480662816786e-20	0.0	4.369896505808229e-21	0.0	3.137444531473635e-22	0.0	2.2525838254856698e-23	0.0	1.617282420630498e-24	0.0	1.1611563397025398e-25	0.0	8.336454953059361e-27	0.0	5.947353725769358e-28	0.0
