protA	protB	WD
IMPDH2	AARS	0.0
IPO5	AARS	0.0
IQGAP1	AARS	0.0
IRS4	AARS	0.0
ISYNA1	AARS	0.0
ITGB1	AARS	0.0
ITPR3	AARS	0.0
KARS1	AARS	0.0
KCTD12	AARS	0.0
KHSRP	AARS	0.0
KIF5B	AARS	0.0
KPNB1	AARS	0.0
KPRP	AARS	0.0
KRT10	AARS	0.0
KRT13	AARS	0.0
KRT14	AARS	0.0
KRT16	AARS	0.0
KRT17	AARS	0.0
KRT2	AARS	0.0
KRT34	AARS	0.0
KRT6B	AARS	0.0
KRT8	AARS	0.0
KTN1	AARS	0.0
LAMP2	AARS	0.0
LANCL1	AARS	0.0
LARS	AARS	0.0
LBR	AARS	0.0
LDHA	AARS	0.0
LDHB	AARS	0.0
LGALS3BP	AARS	0.0
LGALS7	AARS	0.0
LMAN1	AARS	0.0
LONP1	AARS	0.0
LRPPRC	AARS	0.0
LRRC59	AARS	0.0
LSM12	AARS	0.0
LTA4H	AARS	0.0
LUC7L2	AARS	0.0
MACF1	AARS	0.0
MAP1B	AARS	0.0
MARCKS	AARS	0.0
MARCKSL1	AARS	0.0
MARS	AARS	0.0
MAT2A	AARS	0.0
MAT2B	AARS	0.0
MATR3	AARS	0.0
MCM4	AARS	0.0
MCM5	AARS	0.0
MCM6	AARS	0.0
MCM7	AARS	0.0
MDH1	AARS	0.0
MDH2	AARS	0.0
ME2	AARS	0.0
MLEC	AARS	0.0
MRE11	AARS	0.0
MRPL1	AARS	0.0
MRPL11	AARS	0.0
MRPL12	AARS	0.0
MRPL13	AARS	0.0
MRPL15	AARS	0.0
MRPL17	AARS	0.0
MRPL18	AARS	0.0
MRPL19	AARS	0.0
MRPL2	AARS	0.0
MRPL20	AARS	0.0
MRPL21	AARS	0.0
MRPL22	AARS	0.0
MRPL23	AARS	0.0
MRPL24	AARS	0.0
MRPL28	AARS	0.0
MRPL3	AARS	0.0
MRPL34	AARS	0.0
MRPL37	AARS	0.0
MRPL38	AARS	0.0
MRPL39	AARS	0.0
MRPL4	AARS	0.0
MRPL40	AARS	0.0
MRPL41	AARS	0.0
MRPL43	AARS	0.0
MRPL44	AARS	0.0
MRPL45	AARS	0.0
MRPL46	AARS	0.0
MRPL47	AARS	0.0
MRPL48	AARS	0.0
MRPL49	AARS	0.0
MRPL50	AARS	0.0
MRPL55	AARS	0.0
MRPL58	AARS	0.0
MRPL9	AARS	0.0
MRPS10	AARS	0.0
