protA	protB	qvalues
LARS	ACAA2	0.0
LBR	ACAA2	0.0
LDHA	ACAA2	0.0
LDHB	ACAA2	0.0
LGALS3BP	ACAA2	0.0
LONP1	ACAA2	0.0
LRPPRC	ACAA2	0.0
LSM12	ACAA2	0.0
LUC7L2	ACAA2	0.0
MACF1	ACAA2	0.0
MAP1B	ACAA2	0.0
MARCKSL1	ACAA2	0.0
MARS	ACAA2	0.0
MAT2A	ACAA2	0.0
MATR3	ACAA2	0.0
MCM4	ACAA2	0.0
MCM5	ACAA2	0.0
MCM6	ACAA2	0.0
MCM7	ACAA2	0.0
MDH1	ACAA2	0.0
MDH2	ACAA2	0.0
ME2	ACAA2	0.0
MLEC	ACAA2	0.0
MRE11	ACAA2	0.0
MRPL1	ACAA2	0.0
MRPL11	ACAA2	0.0
MRPL12	ACAA2	0.0
MRPL13	ACAA2	0.0
MRPL15	ACAA2	0.0
MRPL17	ACAA2	0.0
MRPL19	ACAA2	0.0
MRPL2	ACAA2	0.0
MRPL20	ACAA2	0.0
MRPL21	ACAA2	0.0
MRPL22	ACAA2	0.0
MRPL23	ACAA2	0.0
MRPL24	ACAA2	0.0
MRPL28	ACAA2	0.0
MRPL3	ACAA2	0.0
MRPL34	ACAA2	0.0
MRPL37	ACAA2	0.0
MRPL38	ACAA2	0.0
MRPL39	ACAA2	0.0
MRPL4	ACAA2	0.0
MRPL40	ACAA2	0.0
MRPL41	ACAA2	0.0
MRPL43	ACAA2	0.0
MRPL44	ACAA2	0.0
MRPL45	ACAA2	0.0
MRPL46	ACAA2	0.0
MRPL47	ACAA2	0.0
MRPL48	ACAA2	0.0
MRPL49	ACAA2	0.0
MRPL50	ACAA2	0.0
MRPL55	ACAA2	0.0
MRPL58	ACAA2	0.0
MRPL9	ACAA2	0.0
MRPS10	ACAA2	0.0
MRPS14	ACAA2	0.0
MRPS16	ACAA2	0.0
MRPS17	ACAA2	0.0
MRPS2	ACAA2	0.0
MRPS22	ACAA2	0.0
MRPS23	ACAA2	0.0
MRPS27	ACAA2	0.0
MRPS30	ACAA2	0.0
MRPS31	ACAA2	0.0
MRPS34	ACAA2	0.0
MRPS35	ACAA2	0.0
MRPS7	ACAA2	0.0
MTA2	ACAA2	0.0
MTHFD1	ACAA2	0.0
MYH10	ACAA2	0.0
MYH9	ACAA2	0.0
MYL6	ACAA2	0.0
NAP1L1	ACAA2	0.0
NCKAP1	ACAA2	0.0
NCL	ACAA2	0.0
NME1	ACAA2	0.0
NPEPPS	ACAA2	0.0
NPM1	ACAA2	0.0
NSF	ACAA2	0.0
NSUN2	ACAA2	0.0
NUDC	ACAA2	0.0
NUDT21	ACAA2	0.0
NUFIP2	ACAA2	0.0
NUMA1	ACAA2	0.0
NUP107	ACAA2	0.0
NUP133	ACAA2	0.0
NUP210	ACAA2	0.0
NUP85	ACAA2	0.0
NUP93	ACAA2	0.0
NUP98	ACAA2	0.0
OAT	ACAA2	0.0
OGDH	ACAA2	0.0
P3H1	ACAA2	0.0
P4HA1	ACAA2	0.0
P4HB	ACAA2	0.0
PABPC1	ACAA2	0.0
PABPC4	ACAA2	0.0
PABPN1	ACAA2	0.0
PAICS	ACAA2	0.0
PARP1	ACAA2	0.0
PC	ACAA2	0.0
PCMT1	ACAA2	0.0
PDHA1	ACAA2	0.0
PDHB	ACAA2	0.0
PDIA3	ACAA2	0.0
PDIA6	ACAA2	0.0
PDRG1	ACAA2	0.0
PFDN2	ACAA2	0.0
PFDN4	ACAA2	0.0
PFDN5	ACAA2	0.0
PFDN6	ACAA2	0.0
PFKP	ACAA2	0.0
PGD	ACAA2	0.0
PGK1	ACAA2	0.0
PHB	ACAA2	0.0
PHB2	ACAA2	0.0
PHGDH	ACAA2	0.0
PIH1D1	ACAA2	0.0
PIP	ACAA2	0.0
PKM	ACAA2	0.0
PLS3	ACAA2	0.0
PNN	ACAA2	0.0
PNP	ACAA2	0.0
PODXL	ACAA2	0.0
POLR1A	ACAA2	0.0
POLR1C	ACAA2	0.0
POLR2A	ACAA2	0.0
POLR2B	ACAA2	0.0
POLR2C	ACAA2	0.0
POLR2E	ACAA2	0.0
POLR2H	ACAA2	0.0
POLR3A	ACAA2	0.0
POLR3B	ACAA2	0.0
POLR3D	ACAA2	0.0
PPIB	ACAA2	0.0
PPP1CA	ACAA2	0.0
PPP1CC	ACAA2	0.0
PPP1R7	ACAA2	0.0
PPP2R1A	ACAA2	0.0
PPP2R2A	ACAA2	0.0
PRDX1	ACAA2	0.0
PRDX2	ACAA2	0.0
PRDX3	ACAA2	0.0
PRDX4	ACAA2	0.0
PRDX6	ACAA2	0.0
PRKCSH	ACAA2	0.0
PRKDC	ACAA2	0.0
PRMT1	ACAA2	0.0
PRMT5	ACAA2	0.0
PRPF19	ACAA2	0.0
PRPF40A	ACAA2	0.0
PRPF8	ACAA2	0.0
PSAT1	ACAA2	0.0
PSMA1	ACAA2	0.0
PSMA2	ACAA2	0.0
PSMA4	ACAA2	0.0
PSMA6	ACAA2	0.0
PSMA7	ACAA2	0.0
PSMB1	ACAA2	0.0
PSMB2	ACAA2	0.0
PSMB5	ACAA2	0.0
PSMB6	ACAA2	0.0
PSMC1	ACAA2	0.0
PSMC2	ACAA2	0.0
PSMC3	ACAA2	0.0
PSMC4	ACAA2	0.0
PSMC5	ACAA2	0.0
PSMC6	ACAA2	0.0
PSMD1	ACAA2	0.0
PSMD11	ACAA2	0.0
PSMD12	ACAA2	0.0
PSMD13	ACAA2	0.0
PSMD14	ACAA2	0.0
PSMD2	ACAA2	0.0
PSMD3	ACAA2	0.0
PSMD4	ACAA2	0.0
PSMD6	ACAA2	0.0
PSMD7	ACAA2	0.0
PSMD8	ACAA2	0.0
PTBP1	ACAA2	0.0
PTCD3	ACAA2	0.0
QARS	ACAA2	0.0
RACK1	ACAA2	0.0
RAD50	ACAA2	0.0
RALY	ACAA2	0.0
RAN	ACAA2	0.0
RANBP1	ACAA2	0.0
RANBP2	ACAA2	0.0
RANBP9	ACAA2	0.0
RANGAP1	ACAA2	0.0
RARS	ACAA2	0.0
RBM25	ACAA2	0.0
RBM39	ACAA2	0.0
RBMX	ACAA2	0.0
RNPS1	ACAA2	0.0
RPAP3	ACAA2	0.0
RPL11	ACAA2	0.0
RPL19	ACAA2	0.0
RPL22	ACAA2	0.0
RPL23	ACAA2	0.0
RPL27A	ACAA2	0.0
RPL3	ACAA2	0.0
RPLP0	ACAA2	0.0
RPN1	ACAA2	0.0
RPN2	ACAA2	0.0
RPS10	ACAA2	0.0
RPS11	ACAA2	0.0
RPS14	ACAA2	0.0
RPS15A	ACAA2	0.0
RPS16	ACAA2	0.0
RPS18	ACAA2	0.0
RPS19	ACAA2	0.0
RPS2	ACAA2	0.0
RPS20	ACAA2	0.0
RPS24	ACAA2	0.0
RPS25	ACAA2	0.0
RPS26	ACAA2	0.0
RPS27	ACAA2	0.0
RPS3	ACAA2	0.0
RPS3A	ACAA2	0.0
RPS4X	ACAA2	0.0
RPS5	ACAA2	0.0
RPS7	ACAA2	0.0
RPS9	ACAA2	0.0
RUVBL1	ACAA2	0.0
RUVBL2	ACAA2	0.0
SAFB	ACAA2	0.0
SDHA	ACAA2	0.0
SEC61A1	ACAA2	0.0
SET	ACAA2	0.0
SF3A1	ACAA2	0.0
SF3A3	ACAA2	0.0
